#Mon,#Tue,#Wed,#Tur,#Fri,#Sat,#Sun,#post,#visitors
0,1,0,0,0,0,0,70,12279486
0,0,1,0,0,0,0,72,13604869
0,0,0,1,0,0,0,73,11067721
0,0,0,0,1,0,0,67,10587518
0,0,0,0,0,1,0,69,11276839
0,0,0,0,0,0,1,68,12195164
1,0,0,0,0,0,0,77,12036266
0,1,0,0,0,0,0,75,11423625
0,0,1,0,0,0,0,68,10876436
0,0,0,1,0,0,0,67,12808127
0,0,0,0,1,0,0,61,11993872
0,0,0,0,0,1,0,64,11274129
0,0,0,0,0,0,1,65,12922811
1,0,0,0,0,0,0,69,13239220
0,1,0,0,0,0,0,64,13717830
0,0,1,0,0,0,0,68,12603920
0,0,0,1,0,0,0,70,12471876
0,0,0,0,1,0,0,62,12185086
0,0,0,0,0,1,0,65,11892905
0,0,0,0,0,0,1,65,11676712
1,0,0,0,0,0,0,70,11540340
0,1,0,0,0,0,0,74,12894000
0,0,1,0,0,0,0,68,10666755
0,0,0,1,0,0,0,70,10394233
0,0,0,0,1,0,0,65,9619647
0,0,0,0,0,1,0,65,9361082
0,0,0,0,0,0,1,67,9151093
1,0,0,0,0,0,0,75,10298599
0,1,0,0,0,0,0,76,10655216
0,0,1,0,0,0,0,69,10726661
0,0,0,1,0,0,0,78,10085887
0,0,0,0,1,0,0,69,11224834
0,0,0,0,0,1,0,64,10573501
0,0,0,0,0,0,1,60,9630171
1,0,0,0,0,0,0,73,8573635
0,1,0,0,0,0,0,74,9231879
0,0,1,0,0,0,0,75,8316693
0,0,0,1,0,0,0,72,8631355
0,0,0,0,1,0,0,69,8766658
0,0,0,0,0,1,0,65,8690005
0,0,0,0,0,0,1,65,9316764
1,0,0,0,0,0,0,75,10945899
0,1,0,0,0,0,0,73,9953237
0,0,1,0,0,0,0,72,9630372
0,0,0,1,0,0,0,69,9414880
0,0,0,0,1,0,0,66,8730017
0,0,0,0,0,1,0,65,9323822
0,0,0,0,0,0,1,62,9095313
1,0,0,0,0,0,0,71,7797970
0,1,0,0,0,0,0,70,8872276
0,0,1,0,0,0,0,67,9224926
0,0,0,1,0,0,0,72,9164969
0,0,0,0,1,0,0,68,10254432
0,0,0,0,0,1,0,63,10081201
0,0,0,0,0,0,1,57,10533047
1,0,0,0,0,0,0,79,9139653
0,1,0,0,0,0,0,73,10291741
0,0,1,0,0,0,0,79,9836373
0,0,0,1,0,0,0,78,9924740
0,0,0,0,1,0,0,71,12615768
0,0,0,0,0,1,0,64,11754942
0,0,0,0,0,0,1,65,11297771
1,0,0,0,0,0,0,73,10362826
0,1,0,0,0,0,0,72,10654890
0,0,1,0,0,0,0,75,9083115
0,0,0,1,0,0,0,72,9132173
0,0,0,0,1,0,0,64,9210385
0,0,0,0,0,1,0,66,8219980
0,0,0,0,0,0,1,61,11851892
1,0,0,0,0,0,0,79,10832529
0,1,0,0,0,0,0,70,10474219
0,0,1,0,0,0,0,71,9810305
0,0,0,1,0,0,0,70,9401372
0,0,0,0,1,0,0,70,9919878
